order_id,account_reference,symbol,side,order_type,qty,price,status,idempotency_key,created_on
1f0c8c10-7a41-4c01-9001-000000000001,ETP-2201,SATYAM.BO,BUY,LIMIT,100,21.50,FILLED,seed-2201-001,2026-05-14 10:31:06
1f0c8c10-7a41-4c01-9001-000000000002,ETP-2201,INFY.NS,BUY,LIMIT,200,1580.50,FILLED,seed-2201-002,2026-06-08 09:47:12
1f0c8c10-7a41-4c01-9001-000000000003,ETP-2201,INFY.NS,BUY,LIMIT,100,1595.50,FILLED,seed-2201-003,2026-06-19 11:03:45
1f0c8c10-7a41-4c01-9001-000000000004,ETP-2201,TATASTEEL.BO,BUY,LIMIT,500,164.20,FILLED,seed-2201-004,2026-06-25 10:15:08
1f0c8c10-7a41-4c01-9001-000000000005,ETP-2201,HDFCBANK.NS,BUY,LIMIT,40,1650.00,REJECTED,seed-2201-005,2026-07-02 14:22:31
1f0c8c10-7a41-4c01-9001-000000000006,ETP-2201,TATASTEEL.BO,SELL,LIMIT,100,172.00,CANCELLED,seed-2201-006,2026-07-14 15:40:57
1f0c8c10-7a41-4c01-9001-000000000007,ETP-2201,RELIANCE.NS,BUY,LIMIT,50,1410.00,NEW,seed-2201-007,2026-08-03 09:05:19
1f0c8c10-7a41-4c01-9001-000000000008,ETP-2202,RELIANCE.NS,BUY,LIMIT,400,1425.00,FILLED,seed-2202-001,2026-06-11 09:31:04
1f0c8c10-7a41-4c01-9001-000000000009,ETP-2202,AAPL,BUY,LIMIT,60,232.50,FILLED,seed-2202-002,2026-06-30 13:52:26
1f0c8c10-7a41-4c01-9001-000000000010,ETP-2202,RELIANCE.NS,SELL,LIMIT,150,1468.00,FILLED,seed-2202-003,2026-07-09 10:28:33
1f0c8c10-7a41-4c01-9001-000000000011,ETP-2202,X:BTC-USD,BUY,LIMIT,1,61000.00,REJECTED,seed-2202-004,2026-07-21 16:11:02
1f0c8c10-7a41-4c01-9001-000000000012,ETP-2202,SPY,BUY,LIMIT,25,548.00,NEW,seed-2202-005,2026-08-04 08:12:47
1f0c8c10-7a41-4c01-9001-000000000013,ETP-2203,TATASTEEL.BO,BUY,LIMIT,15,163.00,FILLED,seed-2203-001,2026-06-17 12:05:41
1f0c8c10-7a41-4c01-9001-000000000014,ETP-2203,INFY.NS,BUY,LIMIT,10,1585.00,REJECTED,seed-2203-002,2026-07-06 09:58:15
1f0c8c10-7a41-4c01-9001-000000000015,ETP-2203,TATASTEEL.BO,BUY,LIMIT,20,160.00,NEW,seed-2203-003,2026-08-05 10:44:29
1f0c8c10-7a41-4c01-9001-000000000016,ETP-2204,HDFCBANK.NS,BUY,LIMIT,30,1672.00,FILLED,seed-2204-001,2026-06-23 11:19:53
1f0c8c10-7a41-4c01-9001-000000000017,ETP-2204,SPY,BUY,LIMIT,10,552.00,CANCELLED,seed-2204-002,2026-07-28 14:03:38
1f0c8c10-7a41-4c01-9001-000000000018,ETP-2204,AAPL,BUY,LIMIT,20,230.00,NEW,seed-2204-003,2026-08-06 09:22:10
